id,title,file_id,price
0,Hatchimals Girls Short Sleeve Tee Shirt (Little Kid/Big Kid) HSA009GYT,0,56.01
1,Girl's Kids Minnie Mouse Big Bow T-Shirt,1,67.19
2,NIKE Girls T shirt DIFF COLORS Sizes FREE SHIPPING,2,36.06
3,Girls Minnie Mouse Love Short Sleeve Graphic T-Shirts 2-PK,3,55.64
4,Under Armour Girl's Solid Big Logo Short Sleeve Tee NWT!! 2018 Summer,4,69.09
5,DINO GIRL--Dinosaurs Jurassic T Rex Science Toddler & Kids T Shirt size 4T-L,5,52.31
6,Harry Potter Hogwarts Scarf Sublimated Youth's Girls T-Shirt,6,53.06
7,Powerpuff Girls All-over Short Sleeve T-Shirt Light Blue,7,48.17
8,White T-Shirt matching Doll & Girls Tops (2) by American Girl 100% Cotton,8,52.31
9,NEW Girls LOL Surprise Top Graphic Tee NWT  10 12 year White Short Sleeves,9,48.39
10,Girls Wonder Woman Logo Stars Short Sleeve T-Shirt Red,10,29.86
11,Tommy Hilfiger Children Big Girl Kid Short Sleeve Graphic Tee T-Shirt - $0 Ship,11,100.85
12,Girl's Glitter Superman Logo T-Shirt,12,67.19
14,1 Boy girl unsex  Mickey Mouse minions Awkward T shirt size XS S M L Red ,14,41.1
15,Girls Kid's Shimmer and Shine Silver Glitter T-Shirt,15,67.19
16,Girl's Moana Block Letter Turquoise T-Shirt,16,67.19
17,Under Armour Girl's Solid Big Logo Short Sleeve Tee NWT!!! ,17,65.35
18,Ralph Lauren Girls T-Shirt Short Sleeve Crew Neck Stretch Shirt Pony Logo S L Xl,18,74.7
19,Leveret Girls Leotard Basic Short Sleeve Ballet Dance Leotard Kids & Toddler...,19,63.49
20,NEW LOT of 3 girls youth nike t shirts 5 small 4-5 years 9,20,97.49
21,NEW Adidas Girl's YOUTH T-Shirt TOP WHITE & Pink Size SMALL 7/8 ,21,40.32
22,"Metal Mulisha Girl's T-shirts ""Bliss Tee''--purple",22,54.0
23,NWT Girls Justice Short Sleeve Light Pink Top w/Cats ,23,61.66
24,Nike Girl's Tee Top Shirt 921114,24,67.26
25,Girl's JoJo Siwa Dream Crazy Big T-Shirt,25,67.19
26,Girl's Super Mario #SquadGoals Teal T-Shirt,26,55.98
27,Pokemon Group Squares Girls T-Shirt,27,55.98
28,Justice Girl's Size 12 Peace & Love Shimmer Graphic Tee Tee New with Tags,28,60.5
