id,title,file_id,price
902,Lost Gods Penguin Heart Girls Graphic T Shirt,902,70.81
10746,NEW NIKE Girls JUST DO IT T Shirt SIZE S $54,10746,37.25
6132,"The North Face Girls' Graphic ""HELLO WORLD"" Black T-Shirt - MEDIUM (10/12) - NWT",6132,59.41
5348,NWT DISNEY SHIRT FAMILY VACATION MICKEY & PALS YOUTH SIZE S BLUE WITH DARK BLUE,5348,93.38
4230,New Ralph Lauren Childrenswear Polo Cotton Graphic Tee Shirt ,4230,48.54
15514,Girls Beautees Top Size Large Pink Coral W/ Butterflies & Sequence NWT H91,15514,18.5
9282,Southern Mississippi Golden Eagles Girls Shirt 7 / 8 Youth Black Gold,9282,28.66
8985,Love Shirt Size S 6-6x Brand New NWT Zone Pro Shirt,8985,41.07
1118,Justice Girl's Emoji Lace Up Top in Blue Size 14 Plus NWT,1118,57.13
2682,New OshKosh Striped Back and Elephant Sparkle Front Tee Top Size 8 Year NWT ,2682,44.84
9483,Girl's Light Baby Blue Cute Kitten T Shirt Choose Your Size White Kitty Cat NEW,9483,33.59
12684,Gymboree sunny citrus sweet tart size 7 8 9 10 12 NWT  ,12684,37.33
5201,GIRLS PUMA COLD SHOULDER STYLE GREY SHIRT MULTIPLE SIZES NEW WITH TAGS MSRP $24,5201,51.45
12532,"Kathy's Clown Girls ""Red Hots"" Shirt Size 8",12532,14.95
12045,NEW Gymboree Size 5 Short Sleeve Shirt Blue White Striped T-Shirt Pocket Girls ,12045,37.33
16273,French Toast Girl's Short Sleeve Stretch Pique Polo Top School Uniform S 6/6X,16273,33.59
6321,KIDDO BY KATIE BEIGE TAN OPEN WEAVE PULLOVER TOP GIRLS SIZE 7 NWT  ,6321,41.07
11454,NWT Size 12 Persnickety Ally Tee in Red,11454,93.42
10827,"NWT Girls Short Sleeve ""Glam"" Shirt Size 5",10827,14.91
13343,NWT Girls Arizona Brand Top Size 14/16,13343,26.12
6709,"Monteau's Max & Riley Girls' Crochet-Sleeve Handkerchief-Hem Top, M(10-12), $34",6709,48.54
15314,"Disney Store ""Inner Strength Outer Sparkle"" Princess Tee Kids Size  5/6 New",15314,26.04
14830,Girls Faded Glory Peach Blouse (M),14830,18.68
14852,NEW Sz 4 Disney Frozen Shirt Olaf Some People are worth Melting for cute,14852,14.16
266,Brand New Bella Bliss Red/White Stripe Horse Applique Shirt Boy's Size 6,266,70.59
15320,Girls' Children's Place White & Black Glitter Dad for President Size XL,15320,18.65
10629,Children's Place Ruffle Neck Faux Layered Shirt ~ Size Small (5/6)  ,10629,29.71
5699,Victory Royale Dance Floss Like A Boss Girls Gaming T-Shirt Funny Gamer Tee,5699,48.54
14982,Cat and Jack Girls Size Large SS T-Shirt Light Blue with Rainbow Star Graphic,14982,22.42
6373,OSHKOSH B'GOSH GIRL'S JUST SMILE RUFFLE HEM TUNIC MINT SIZE 4 NWT,6373,53.77
15765,Aeropostale Girls Glitter PSNY Graphic T-Shirt,15765,30.12
5288,"POLO Ralph Lauren TODDLER Girls Cotton Short Sleeve Crewneck Top Shirt, size 6",5288,58.74
8795,NWT Polo Ralph Lauren GIRLS POLO SHIRT MU PREP PR STRIPED XL(16) #72,8795,74.7
10617,GIRLS XS 4 WHITE HEART BUTTERFLY LOVE IS AIR SHIRT NWT ~ THE CHILDREN'S PLACE,10617,26.12
5984,New Girls L 14 16 I Fight For Breast Cancer Shirt Gray Pink Personalize It New,5984,49.88
14828,OshKosh B'Gosh Girls Shirts - Size 6X,14828,20.89
15840,Aeropostale Girls PS New York Graphic T-Shirt,15840,30.12
7070,Disney Princesses - Face Frame Juvy Girls T-Shirt,7070,48.39
12505,Girls *Summer~Time* top lot of 2 sz 14-16   LOOK:)  NEW!    back-2-school,12505,44.84
12457,ARIZONA JEANS CO JUNIORS CROPPED ASYMMETRIC HEM CARDIGAN WHITE MEDIUM NWT,12457,35.83
4658,SPEEDO TOP TEE SHIRT GIRLS RASH SWIMING PINK SUN PROTECTOR 50+ UPF 8 10 12 NEW,4658,67.22
9704,Girls Hello Kitty t shirt White Q870583 Neon Rose S small TEE NWT ^^,9704,23.5
14391,ms1947- NWT STERLING Girls hooded Shirt sz Large,14391,24.29
16061,NWT Ralph Lauren girl heather rose t-shirt w/large navy polo player logo; size M,16061,67.22
15352,  T- SHIRT  ( SIZE SMALL),15352,22.42
14314,Hello Kitty Christmas Holiday Sparkle Glitter Shirt Girls Sz M - So Cute!,14314,44.84
5916,"Justice Girls Cold Shoulder Fashion Tee, Gray, New-Unique-Trendy $26.90, Size 16",5916,74.7
7434,Chaps White Button Down Top Blouse Size S 7 Ruffles School Uniform,7434,56.01
8108,AUTH Lacoste Girl Polo Shirt 14,8108,149.43
6514,NWT Gymboree Charm Class Size 10 Girl with Sparkly Hat Shirt Top,6514,56.05
4188,NEW SMURFETTE SMURFS RAINBOW I LOVE ATTENTION Turquoise Shirt Girl 6/6X,4188,56.01
3820,BON JOVI Juniors Girls Kids Short Sleeve T-Shirt BLACK RUNAWAY,3820,78.43
16397,Garb Performance Solid Polo Youth Girls Sz Small NWT Purple Short Sleeve,16397,8.89
238,Girl blouse peasant modest cotton red white gingham with lace size 10,238,93.38
11837,NWT Gymboree Girls Butterfly Flower Top Mix N Match Shirt Xs 4,11837,33.59
4127,French Toast Girl's Short Sleeve Interlock White Uniform Polo Shirt,4127,44.65
11704,Nike Girls FLY AND MIGHTY Short Sleeve Shirt 885092 - Pink 616 - L - NWT,11704,33.59
14411,XOXO Girls Shirt Size 6 White Pink Silver Heart True Love Embroidery NWT,14411,26.12
8426,LuLaRoe New GRACIE Size 8 Bomb Pops leggings material SOFT RARE UNICORN,8426,56.05
273,Lularoe Kids Gracie shirt Disney Sleeping Beauty fairy size 10 legging material,273,81.46
14120,DC Shoes Boys Gridify Tee (M) Red Y7620442,14120,38.11
13233,LOVE THIS LIFE GIRLS SHIRT SZ-XL (14),13233,36.4
16629,NEW Disney Tinkerbell Love Black Pink Blue Short Sleeve T Shirt Size 6 6X cLOSeT,16629,14.91
12277,"HIGH SCHOOL MUSIC 100% COTTON Yellow Short Sleeve ""SHARPAY"" Tee GIRL SIZES NWT",12277,3.7
8648,Baby Phat White Short Sleeve Tee T Shirt Little Girls Size 5/6 NWT $22,8648,61.66
14701, Old Navy Girl's Short Sleeve Lace-Shoulder Tee Size L 10/12 NWT,14701,18.65
16039,Reebok Girls 7-16 (Parigi) Big Zoom Up Short Sleeve Tee- Pick SZ/Color.,16039,59.79
9616,FIREHOUSE PINK HEART T SHIRT TOP SIZE 6/6X BRAND NEW SHORT SLEEVE,9616,52.28
4516,NWT NIKE GIRLS' GRAY HEATHER SWOOSH COTTON SHORT SLEEVES TEE SZ M AR0711-063,4516,44.47
803,New Hatchimals shirt girls sizes XS S M L XL Hatchimals shirt girls,803,56.01
1501,TOMMY HILFIGER NEW KIDS GIRLS GOLD STAR LOGO PRINT WHITE T SHIRT TEE M (8/10),1501,56.01
16071,"NWT Oshkosh girl lavender t-shirt w/""star of the show"" on the chest; size 8",16071,52.28
5385,Under Armour HeatGear UA Girl's Studio Crop Shirt Sz Youth XS NWT 1290862-001,5385,54.18
12852,Disney Pixar Inside Out Disgust Kid Girl Green S/S Graphic Tee T-Shirt Top 6/6X,12852,29.86
6785,"DISNEY STORE CAPTAIN AMERICA ""LOVE"" 10/12 LARGE  T-SHIRT *NEW WITH TAGS*",6785,47.61
6776,Under Armour New Men's Cotton BALL Black T-Shirt Tee Loose Fit Charget L NWT,6776,49.66
